"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"631","631",14.727291,90.9091,111.317,-10,1.4958495,-0.273272116290045,1.04125790862428,-0.166990228208181,0.585538902369152
"632","632",14.728958,90.9091,111.317,-10,1.5426208,-0.273272116290045,1.08292598647385,-0.166990228208181,0.585538902369152
"633","633",14.730625,90.9091,110.31305,-10,1.4966245,-0.273272116290045,1.04194834828136,-0.166990228208181,0.431841083936788
"634","634",14.732292,90.9091,106.952,-10,1.3748805,-0.273272116290045,0.933487850717291,-0.166990228208181,-0.0827124821193863
"635","635",14.733959,91.785839,106.952,-10,1.2436282,-0.273272116290045,0.816556504906172,-0.0445128730656797,-0.0827124821193863
"636","636",14.735624,91.8942,106.952,-10,1.1267299,-0.273272116290045,0.712412992434148,-0.0293752224300894,-0.0827124821193863
"637","637",14.737291,91.8942,106.952,-10,1.0417328,-0.273272116290045,0.636689936205479,-0.0293752224300894,-0.0827124821193863
"638","638",14.738959,91.8942,106.952,-10,0.99426872,-0.273272116290045,0.594404667664763,-0.0293752224300894,-0.0827124821193863
"639","639",14.740626,91.8942,105.50484,-10,0.98353872,-0.273272116290045,0.584845419251186,-0.0293752224300894,-0.304262693706198
"640","640",14.742292,91.8942,103.806,-10,0.98933408,-0.273272116290045,0.590008446826779,-0.0293752224300894,-0.564343376873326
"641","641",14.743958,91.8942,103.806,-10,0.99362807,-0.273272116290045,0.593833919063071,-0.0293752224300894,-0.564343376873326
"642","642",14.745624,91.8942,103.806,-10,0.98054806,-0.273272116290045,0.582181070522338,-0.0293752224300894,-0.564343376873326
"643","643",14.747292,91.8942,103.806,-10,0.95777288,-0.273272116290045,0.561890893142661,-0.0293752224300894,-0.564343376873326
"644","644",14.748959,91.8942,103.806,-10,0.94049073,-0.273272116290045,0.546494400601124,-0.0293752224300894,-0.564343376873326
"645","645",14.750626,95.005017,101.985192,-10,0.94197388,-0.273272116290045,0.547815723926809,0.405194972910064,-0.843096519344759
"646","646",14.752291,95.3895,99.6678,-10,0.96217046,-0.273272116290045,0.565808652661634,0.458905895929634,-1.19787324612658
"647","647",14.753958,95.3895,99.6678,-10,0.9680695,-0.273272116290045,0.571064047699996,0.458905895929634,-1.19787324612658
"648","648",14.755623,95.3895,99.6678,-10,0.90915833,-0.273272116290045,0.518580682521576,0.458905895929634,-1.19787324612658
"649","649",14.757293,95.3895,99.6678,-10,0.8103851,-0.273272116290045,0.430584611488831,0.458905895929634,-1.19787324612658
